Service
Links	name	optical_name	ra	dec	porb	fx_limit	fx	fx_max
None selected. 	AX J1740.1-2847		17 40 11.60	-28 47 48.0			0.20	
None selected. 	AX J1749.1-2733		17 49 06.00	-27 33 00.0			0.20	
None selected. 	AX J1749.2-2725		17 49 10.10	-27 25 16.0			1.36	
None selected. 	RX J1744.7-2713	V3892 Sgr	17 44 45.70	-27 13 44.0			0.06	
None selected. 	GRO J1750-27		17 49 12.70	-26 38 36.0	29.800		56.00	
None selected. 	IGR J17544-2619	No. C1	17 54 25.28	-26 19 52.6			89.00	
None selected. 	3A 0726-260	V441 Pup	07 28 53.60	-26 06 29.0	34.500		1.20	4.7
None selected. 	SAX J1819.3-2525	V4641 Sgr	18 19 21.48	-25 25 36.0	2.800		1.00	13000.0
None selected. 	SAX J1802.7-2017		18 02 39.90	-20 17 13.5	4.600		1.50	
None selected. 	SAX J1818.6-1703	HD 168078?	18 18 39.00	-17 03 06.0			56.00	
None selected. 	RX J1826.2-1450	LS 5039	18 26 15.06	-14 50 54.3	3.900		0.30	
None selected. 	AX J1820.5-1434		18 20 29.50	-14 34 24.0			8.00	
None selected. 	4U 1807-10		18 11 00.00	-10 54 00.0		<	2.00	10.0
None selected. 	XTE J1829-098		18 29 44.00	-09 51 23.0			4.00	
None selected. 	H 1833-076		18 36 28.60	-07 36 21.0			1.60	200.0
None selected. 	XTE J0658-073	[M81] I-33	06 58 17.30	-07 12 35.3			67.00	
None selected. 	AX J1838.0-0655		18 38 01.00	-06 55 54.0			0.50	
None selected. 	GS 1839-06		18 41 42.00	-05 51 00.0			1.00	
None selected. 	AX J1841.0-0536		18 41 00.43	-05 35 46.5			4.00	
None selected. 	AX 1845.0-0433		18 45 02.00	-04 33 31.0			45.00	
None selected. 	GS 1839-04		18 41 48.00	-04 27 00.0			2.50	
None selected. 	IGR J18483-0311		18 48 18.00	-03 11 00.0			22.00	
None selected. 	GS 1855-02		18 58 00.00	-02 44 00.0			2.00	
None selected. 	XTE J1855-026		18 55 31.30	-02 36 24.0	6.067		6.00	
None selected. 	2S 1845-024		18 48 18.00	-02 25 12.0	241.000		1.00	44.0
None selected. 	GS 1843+009	star	18 45 36.80	+00 51 48.3			33.00	
None selected. 	XTE J1901+014	star	19 01 39.90	+01 26 39.2			500.00	
None selected. 	4U 1901+03		19 03 37.10	+03 11 31.0	22.580	<	2.00	333.0
None selected. 	XTE J1858+034	star?	18 58 36.00	+03 26 09.0			25.00	
None selected. 	3A 1909+048	SS 433	19 11 49.60	+04 58 58.0	13.100		2.00	10.0
None selected. 	SAX J0635.2+0533		06 35 18.29	+05 33 06.3	11.200		0.55	
None selected. 	4U 1909+07	No. A	19 10 48.20	+07 35 52.3	4.400		1.00	7.0
None selected. 	XTE J1859+083		18 59 06.00	+08 15 00.0			8.00	
None selected. 	XTE J1906+09	star	19 04 47.48	+09 02 41.8			0.30	5.0
None selected. 	4U 1907+09	star	19 09 39.30	+09 49 45.0	8.380		4.00	275.0
None selected. 	IGR J19140+0951		19 14 04.20	+09 52 58.3	13.558		75.00	100.0
None selected. 	IGR J06074+2205		06 07 26.60	+22 05 48.3			7.00	
None selected. 	1A 0535+262	V725 Tau	05 38 54.60	+26 18 57.0	111.000	<	3.00	2800.0
None selected. 	XTE J1946+274	No. A	19 45 39.30	+27 21 55.4	169.200	<	1.00	25.0
None selected. 	1H 0556+286	HD 249179	05 55 55.10	+28 47 06.0			1.10	
None selected. 	KS 1947+300	No. 3	19 49 30.50	+30 12 24.0	40.400	<	10.00	375.0
None selected. 	4U 0352+309	X Per	03 55 23.00	+31 02 59.0	250.300	<	9.00	37.0
None selected. 	4U 1956+35	HD 226868	19 58 21.70	+35 12 06.0	5.000		235.00	1320.0
None selected. 	EXO 2030+375	No. 2	20 32 15.20	+37 38 15.0	46.020	<	0.50	1400.0
None selected. 	EXO 051910+3737.7	V420 Aur	05 22 35.20	+37 40 34.0			1.00	
None selected. 	4U 2030+40	V1521 Cyg	20 32 26.50	+40 57 09.0	0.200		90.00	430.0
None selected. 	GRO J2058+42	star	20 58 47.50	+41 46 37.0	55.030		320.00	
None selected. 	RX J0440.9+4431	LS V +44 17	04 40 59.30	+44 31 49.0			1.00	
None selected. 	W63 X-1		20 19 00.00	+45 42 00.0			1.50	
None selected. 	SAX J2103.5+4545	star	21 03 35.70	+45 45 04.0	12.680		20.00	
None selected. 	RX J2030.5+4751	SAO 49725	20 30 30.80	+47 51 51.0			0.04	
None selected. 	1H 2202+501	BD +49 3718	22 01 38.20	+50 10 05.0			0.70	
None selected. 	V 0332+53	BQ Cam	03 34 59.90	+53 10 24.0	34.250	<	0.50	1250.0
None selected. 	1H 1936+541	DM +53 2262	19 32 52.30	+53 52 45.0			0.70	
None selected. 	4U 2206+543	BD +53 2790	22 07 56.20	+54 31 06.0	9.570		0.60	5.5
None selected. 	XTE J0421+560	CI Cam	04 19 42.20	+55 59 59.0	19.410		2000.00	
None selected. 	1H 2138+579	V490 Cep	21 39 30.60	+56 59 12.9		<	6.00	100.0
None selected. 	2S 0053+604	gamma Cas	00 56 42.50	+60 43 00.0	203.590		5.00	11.0
None selected. 	1E 0236.6+6100	LS I +61 303	02 40 31.70	+61 13 46.0	26.496		0.20	
None selected. 	SAX J2239.3+6116	star	22 39 20.90	+61 16 26.8	262.000		16.00	
None selected. 	RX J0146.9+6121	LS I +61 235	01 47 00.20	+61 21 23.7			1.00	3.0
None selected. 	IGR J00370+6122	BD +60 73	00 37 10.00	+61 21 35.0	15.665		8.00	
None selected. 	4U 0115+634	V635 Cas	01 18 31.90	+63 44 24.0	24.300	<	2.00	350.0
None selected. 	2S 0114+650	V662 Cas	01 18 02.70	+65 17 30.0	11.600		4.00	
None selected. 	IGR J01363+6610	EM* GGR 212	01 35 50.00	+66 12 40.0			9.00	
None selected. 	IGR J01583+6713		01 58 18.44	+67 13 23.5			14.00	
